Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616317460,2021-03-21T09:04:20Z,KLM661,"52.306583,4.767478",0,6,320
1616317508,2021-03-21T09:05:08Z,KLM661,"52.305817,4.768944",0,4,326
1616317977,2021-03-21T09:12:57Z,KLM661,"52.306011,4.770362",0,9,146
1616318001,2021-03-21T09:13:21Z,KLM661,"52.305119,4.77129",0,10,146
1616318029,2021-03-21T09:13:49Z,KLM661,"52.305058,4.773187",0,12,59
1616318036,2021-03-21T09:13:56Z,KLM661,"52.305302,4.773815",0,13,56
1616318043,2021-03-21T09:14:03Z,KLM661,"52.305519,4.774399",0,14,56
1616318050,2021-03-21T09:14:10Z,KLM661,"52.305782,4.775047",0,15,56
1616318054,2021-03-21T09:14:14Z,KLM661,"52.305965,4.775384",0,15,47
1616318058,2021-03-21T09:14:18Z,KLM661,"52.306198,4.775639",0,15,33
1616318064,2021-03-21T09:14:24Z,KLM661,"52.306595,4.775836",0,15,14
1616318070,2021-03-21T09:14:30Z,KLM661,"52.307049,4.775914",0,15,5
1616318073,2021-03-21T09:14:33Z,KLM661,"52.307259,4.775933",0,15,2
1616318078,2021-03-21T09:14:38Z,KLM661,"52.307571,4.775953",0,15,2
1616318083,2021-03-21T09:14:43Z,KLM661,"52.30798,4.775992",0,15,2
1616318086,2021-03-21T09:14:46Z,KLM661,"52.308197,4.776001",0,16,2
1616318090,2021-03-21T09:14:50Z,KLM661,"52.308517,4.776039",0,16,2
1616318094,2021-03-21T09:14:54Z,KLM661,"52.30883,4.776071",0,16,2
1616318100,2021-03-21T09:15:00Z,KLM661,"52.309296,4.776115",0,17,2
1616318106,2021-03-21T09:15:06Z,KLM661,"52.309795,4.776169",0,17,2
1616318117,2021-03-21T09:15:17Z,KLM661,"52.310646,4.776248",0,18,2
1616318123,2021-03-21T09:15:23Z,KLM661,"52.311138,4.776287",0,18,2
1616318134,2021-03-21T09:15:34Z,KLM661,"52.312134,4.776385",0,19,2
1616318139,2021-03-21T09:15:39Z,KLM661,"52.31266,4.77644",0,19,2
1616318147,2021-03-21T09:15:47Z,KLM661,"52.313301,4.776497",0,19,2
1616318153,2021-03-21T09:15:53Z,KLM661,"52.31385,4.776535",0,19,2
1616318159,2021-03-21T09:15:59Z,KLM661,"52.314381,4.776424",0,19,348
1616318162,2021-03-21T09:16:02Z,KLM661,"52.31464,4.776268",0,19,340
1616318166,2021-03-21T09:16:06Z,KLM661,"52.314926,4.775944",0,19,326
1616318168,2021-03-21T09:16:08Z,KLM661,"52.315098,4.775715",0,19,320
1616318187,2021-03-21T09:16:27Z,KLM661,"52.315807,4.773788",0,11,284
1616318190,2021-03-21T09:16:30Z,KLM661,"52.315811,4.77352",0,10,275
1616318204,2021-03-21T09:16:44Z,KLM661,"52.315773,4.772339",0,11,264
1616318208,2021-03-21T09:16:48Z,KLM661,"52.315762,4.772053",0,10,264
1616318211,2021-03-21T09:16:51Z,KLM661,"52.31575,4.771786",0,9,264
1616318218,2021-03-21T09:16:58Z,KLM661,"52.315731,4.771284",0,10,264
1616318227,2021-03-21T09:17:07Z,KLM661,"52.315704,4.770584",0,11,267
1616318237,2021-03-21T09:17:17Z,KLM661,"52.315685,4.769813",0,12,267
1616318248,2021-03-21T09:17:28Z,KLM661,"52.315639,4.768674",0,13,267
1616318288,2021-03-21T09:18:08Z,KLM661,"52.315498,4.764652",0,13,267
1616318299,2021-03-21T09:18:19Z,KLM661,"52.315453,4.763412",0,14,264
1616318308,2021-03-21T09:18:28Z,KLM661,"52.31543,4.762478",0,15,267
1616318315,2021-03-21T09:18:35Z,KLM661,"52.315395,4.761677",0,15,267
1616318344,2021-03-21T09:19:04Z,KLM661,"52.315281,4.758034",0,17,267
1616318431,2021-03-21T09:20:31Z,KLM661,"52.31488,4.746609",0,22,267
1616318437,2021-03-21T09:20:37Z,KLM661,"52.314846,4.74556",0,23,267
1616318444,2021-03-21T09:20:44Z,KLM661,"52.314789,4.744289",0,22,267
1616318452,2021-03-21T09:20:52Z,KLM661,"52.314754,4.743014",0,18,267
1616318457,2021-03-21T09:20:57Z,KLM661,"52.314705,4.742425",0,14,261
1616318462,2021-03-21T09:21:02Z,KLM661,"52.314548,4.741917",0,15,241
1616318467,2021-03-21T09:21:07Z,KLM661,"52.314312,4.741562",0,15,222
1616318470,2021-03-21T09:21:10Z,KLM661,"52.314091,4.741402",0,15,208
1616318474,2021-03-21T09:21:14Z,KLM661,"52.313797,4.741326",0,15,191
1616318478,2021-03-21T09:21:18Z,KLM661,"52.313519,4.741307",0,15,182
1616318487,2021-03-21T09:21:27Z,KLM661,"52.312878,4.741268",0,16,182
1616318490,2021-03-21T09:21:30Z,KLM661,"52.312592,4.74123",0,17,180
1616318496,2021-03-21T09:21:36Z,KLM661,"52.312145,4.741209",0,17,182
1616318504,2021-03-21T09:21:44Z,KLM661,"52.311493,4.74115",0,18,182
1616318517,2021-03-21T09:21:57Z,KLM661,"52.31028,4.741039",0,19,182
1616318523,2021-03-21T09:22:03Z,KLM661,"52.309715,4.740973",0,20,182
1616318530,2021-03-21T09:22:10Z,KLM661,"52.30912,4.740914",0,20,182
1616318535,2021-03-21T09:22:15Z,KLM661,"52.308598,4.740875",0,21,182
1616318542,2021-03-21T09:22:22Z,KLM661,"52.30785,4.740797",0,21,182
1616318548,2021-03-21T09:22:28Z,KLM661,"52.307304,4.740757",0,19,182
1616318556,2021-03-21T09:22:36Z,KLM661,"52.306755,4.740715",0,13,182
1616318561,2021-03-21T09:22:41Z,KLM661,"52.306465,4.740679",0,9,182
1616318569,2021-03-21T09:22:49Z,KLM661,"52.306221,4.740601",0,8,191
1616318573,2021-03-21T09:22:53Z,KLM661,"52.30608,4.740372",0,8,213
1616318578,2021-03-21T09:22:58Z,KLM661,"52.306011,4.74013",0,8,227
1616318584,2021-03-21T09:23:04Z,KLM661,"52.305988,4.739723",0,9,255
1616318588,2021-03-21T09:23:08Z,KLM661,"52.306038,4.739463",0,9,275
1616318593,2021-03-21T09:23:13Z,KLM661,"52.306183,4.739208",0,10,300
1616318604,2021-03-21T09:23:24Z,KLM661,"52.306618,4.738835",0,10,331
1616318609,2021-03-21T09:23:29Z,KLM661,"52.306847,4.738655",0,11,331
1616318614,2021-03-21T09:23:34Z,KLM661,"52.307076,4.738483",0,11,334
1616318619,2021-03-21T09:23:39Z,KLM661,"52.307304,4.738293",0,10,334
1616318626,2021-03-21T09:23:46Z,KLM661,"52.307453,4.737988",0,6,312
1616318636,2021-03-21T09:23:56Z,KLM661,"52.307678,4.737815",0,5,331
1616318644,2021-03-21T09:24:04Z,KLM661,"52.307888,4.737854",0,6,357
1616318650,2021-03-21T09:24:10Z,KLM661,"52.308098,4.737893",0,8,2
1616318656,2021-03-21T09:24:16Z,KLM661,"52.308357,4.737911",0,16,2
1616318657,2021-03-21T09:24:17Z,KLM661,"52.308563,4.737933",0,25,2
1616318659,2021-03-21T09:24:19Z,KLM661,"52.308784,4.737952",0,29,2
1616318661,2021-03-21T09:24:21Z,KLM661,"52.309055,4.737988",0,39,2
1616318662,2021-03-21T09:24:22Z,KLM661,"52.309284,4.737991",0,44,2
