Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616318505,2021-03-21T09:21:45Z,AAL71,"50.047356,8.575516",0,0,254
1616319570,2021-03-21T09:39:30Z,AAL71,"50.047146,8.575367",0,2,25
1616319591,2021-03-21T09:39:51Z,AAL71,"50.046936,8.575182",0,2,25
1616319611,2021-03-21T09:40:11Z,AAL71,"50.046726,8.575015",0,3,25
1616319630,2021-03-21T09:40:30Z,AAL71,"50.04652,8.574829",0,3,28
1616319648,2021-03-21T09:40:48Z,AAL71,"50.046299,8.574643",0,3,33
1616319668,2021-03-21T09:41:08Z,AAL71,"50.046078,8.574413",0,3,47
1616319685,2021-03-21T09:41:25Z,AAL71,"50.045918,8.574161",0,3,67
1616319697,2021-03-21T09:41:37Z,AAL71,"50.045868,8.573938",0,3,70
1616319708,2021-03-21T09:41:48Z,AAL71,"50.045826,8.573727",0,3,70
1616319721,2021-03-21T09:42:01Z,AAL71,"50.045761,8.573456",0,3,67
1616319735,2021-03-21T09:42:15Z,AAL71,"50.045704,8.573196",0,3,67
1616319748,2021-03-21T09:42:28Z,AAL71,"50.045654,8.572986",0,1,67
1616319993,2021-03-21T09:46:33Z,AAL71,"50.0457,8.573203",0,2,67
1616320004,2021-03-21T09:46:44Z,AAL71,"50.045769,8.573474",0,5,67
1616320011,2021-03-21T09:46:51Z,AAL71,"50.045845,8.573752",0,6,67
1616320017,2021-03-21T09:46:57Z,AAL71,"50.045906,8.574052",0,7,67
1616320031,2021-03-21T09:47:11Z,AAL71,"50.046066,8.574739",0,8,67
1616320037,2021-03-21T09:47:17Z,AAL71,"50.046135,8.575046",0,8,67
1616320043,2021-03-21T09:47:23Z,AAL71,"50.046204,8.575336",0,8,67
1616320048,2021-03-21T09:47:28Z,AAL71,"50.046288,8.575665",0,8,67
1616320054,2021-03-21T09:47:34Z,AAL71,"50.046375,8.576004",0,8,67
1616320062,2021-03-21T09:47:42Z,AAL71,"50.046471,8.576406",0,9,67
1616320068,2021-03-21T09:47:48Z,AAL71,"50.046555,8.576777",0,9,67
1616320074,2021-03-21T09:47:54Z,AAL71,"50.046646,8.577148",0,9,67
1616320079,2021-03-21T09:47:59Z,AAL71,"50.04673,8.577521",0,9,67
1616320085,2021-03-21T09:48:05Z,AAL71,"50.046822,8.577901",0,9,67
1616320092,2021-03-21T09:48:12Z,AAL71,"50.046925,8.57828",0,9,67
1616320100,2021-03-21T09:48:20Z,AAL71,"50.047031,8.578782",0,9,67
1616320107,2021-03-21T09:48:27Z,AAL71,"50.0471,8.57919",0,9,75
1616320114,2021-03-21T09:48:34Z,AAL71,"50.046947,8.579581",0,8,115
1616320121,2021-03-21T09:48:41Z,AAL71,"50.046764,8.579784",0,7,137
1616320128,2021-03-21T09:48:48Z,AAL71,"50.046532,8.579932",0,8,151
1616320134,2021-03-21T09:48:54Z,AAL71,"50.046318,8.580051",0,8,157
1616320140,2021-03-21T09:49:00Z,AAL71,"50.046112,8.580177",0,8,157
1616320148,2021-03-21T09:49:08Z,AAL71,"50.045845,8.580359",0,8,151
1616320155,2021-03-21T09:49:15Z,AAL71,"50.045689,8.580702",0,9,123
1616320160,2021-03-21T09:49:20Z,AAL71,"50.04567,8.581046",0,9,98
1616320166,2021-03-21T09:49:26Z,AAL71,"50.045738,8.581436",0,10,75
1616320170,2021-03-21T09:49:30Z,AAL71,"50.045795,8.581696",0,10,73
1616320175,2021-03-21T09:49:35Z,AAL71,"50.045868,8.582011",0,10,67
1616320180,2021-03-21T09:49:40Z,AAL71,"50.045948,8.582364",0,10,67
1616320184,2021-03-21T09:49:44Z,AAL71,"50.046021,8.582635",0,10,67
1616320188,2021-03-21T09:49:48Z,AAL71,"50.046078,8.582889",0,10,67
1616320192,2021-03-21T09:49:52Z,AAL71,"50.046146,8.583159",0,9,67
1616320196,2021-03-21T09:49:56Z,AAL71,"50.046192,8.583365",0,8,67
1616320202,2021-03-21T09:50:02Z,AAL71,"50.046261,8.583665",0,7,67
1616320208,2021-03-21T09:50:08Z,AAL71,"50.046322,8.583904",0,5,67
1616320215,2021-03-21T09:50:15Z,AAL71,"50.046368,8.584108",0,3,67
1616320253,2021-03-21T09:50:53Z,AAL71,"50.046432,8.58437",0,4,67
1616320259,2021-03-21T09:50:59Z,AAL71,"50.04649,8.584605",0,6,67
1616320266,2021-03-21T09:51:06Z,AAL71,"50.046566,8.584999",0,8,73
1616320271,2021-03-21T09:51:11Z,AAL71,"50.046543,8.58524",0,9,90
1616320275,2021-03-21T09:51:15Z,AAL71,"50.046448,8.585444",0,9,109
1616320281,2021-03-21T09:51:21Z,AAL71,"50.046227,8.585707",0,9,135
1616320286,2021-03-21T09:51:26Z,AAL71,"50.046009,8.585852",0,9,151
1616320294,2021-03-21T09:51:34Z,AAL71,"50.045734,8.585996",0,8,157
1616320300,2021-03-21T09:51:40Z,AAL71,"50.045506,8.586149",0,8,157
1616320306,2021-03-21T09:51:46Z,AAL71,"50.045296,8.586261",0,8,157
1616320314,2021-03-21T09:51:54Z,AAL71,"50.045048,8.586286",0,7,177
1616320324,2021-03-21T09:52:04Z,AAL71,"50.044876,8.585945",0,6,222
1616320330,2021-03-21T09:52:10Z,AAL71,"50.04483,8.585707",0,6,241
1616320336,2021-03-21T09:52:16Z,AAL71,"50.044773,8.585454",0,7,244
1616320342,2021-03-21T09:52:22Z,AAL71,"50.044704,8.585147",0,8,247
1616320346,2021-03-21T09:52:26Z,AAL71,"50.044647,8.58493",0,9,247
1616320350,2021-03-21T09:52:30Z,AAL71,"50.044575,8.584646",0,11,247
1616320354,2021-03-21T09:52:34Z,AAL71,"50.044476,8.584189",0,24,247
1616320356,2021-03-21T09:52:36Z,AAL71,"50.044388,8.58383",0,29,247
1616320358,2021-03-21T09:52:38Z,AAL71,"50.044247,8.583232",0,43,247
1616320360,2021-03-21T09:52:40Z,AAL71,"50.044064,8.582457",0,52,247
1616320366,2021-03-21T09:52:46Z,AAL71,"50.0434,8.579636",0,78,247
1616320384,2021-03-21T09:53:04Z,AAL71,"50.040119,8.565995",150,140,249
1616320405,2021-03-21T09:53:25Z,AAL71,"50.034252,8.542019",600,173,248
1616320413,2021-03-21T09:53:33Z,AAL71,"50.031876,8.53233",975,174,249
1616320437,2021-03-21T09:53:57Z,AAL71,"50.026432,8.50416",1900,175,262
1616320438,2021-03-21T09:53:58Z,AAL71,"50.026386,8.501637",1975,173,267
1616320453,2021-03-21T09:54:13Z,AAL71,"50.02771,8.483541",2400,174,279
1616320459,2021-03-21T09:54:19Z,AAL71,"50.028397,8.476603",2575,174,278
1616320460,2021-03-21T09:54:20Z,AAL71,"50.028526,8.475284",2625,174,278
1616320465,2021-03-21T09:54:25Z,AAL71,"50.029037,8.468146",2850,174,275
1616320471,2021-03-21T09:54:31Z,AAL71,"50.029411,8.460734",3075,175,273
1616320475,2021-03-21T09:54:35Z,AAL71,"50.029549,8.456949",3200,175,273
1616320478,2021-03-21T09:54:38Z,AAL71,"50.029644,8.452643",3325,177,271
1616320481,2021-03-21T09:54:41Z,AAL71,"50.02969,8.449303",3400,178,270
1616320483,2021-03-21T09:54:43Z,AAL71,"50.029678,8.445306",3475,180,269
1616320487,2021-03-21T09:54:47Z,AAL71,"50.029598,8.441508",3550,183,268
